instance,count
1790-0,439
1790-1,541
1791-0,830
1792-0,835
1793-0,766
1794-0,1162
1795-0,832
1796-0,1182
1797-0,853
1798-0,899
1799-0,628
1800-0,565
1801-0,1235
1802-0,792
1803-0,792
1804-0,805
1805-0,1108
1806-0,1112
1807-0,917
1808-0,1030
1809-0,700
1810-0,1001
1811-0,927
1812-0,1306
1813-0,1326
1814-0,890
1815-0,1320
1816-0,1385
1817-0,1727
1818-0,1739
1819-0,1795
1820-0,1358
1821-0,2191
1822-0,1623
1823-0,2449
1824-0,3124
1825-0,3542
1826-0,2991
1827-0,2596
1828-0,2890
1829-0,4152
1830-0,5967
1831-0,2852
1832-0,3108
1833-0,3086
1834-0,5031
1835-0,4132
1836-0,4829
1837-0,4616
1838-0,4741
1839-0,5357
1840-0,3687
1841-0,3259
1842-0,3387
1843-0,3206
1844-0,3756
1845-0,6569
1846-0,7436
1847-0,6642
1848-0,8651
1849-0,3126
1850-0,3274
1851-0,5355
1852-0,4041
1853-0,4022
1854-0,4320
1855-0,4892
1856-0,4352
1857-0,5506
1858-0,6676
1859-0,4973
1860-0,5591
1861-0,2764
1862-0,2914
1863-0,2555
1864-0,2449
1865-0,3436
1866-0,2913
1867-0,4589
1868-0,4054
1869-0,3148
1870-0,3535
1871-0,2699
1872-0,4262
1873-0,4047
1874-0,3956
1875-0,4949
1876-0,2762
1877-0,4462
1878-0,3181
1879-0,4730
1880-0,5645
1881-0,5428
1882-0,4083
1883-0,3378
1884-0,3730
1885-0,8276
1886-0,6387
1887-0,2154
1888-0,5472
1889-0,5394
1890-0,4887
1891-0,6474
1892-0,5502
1893-0,5411
1894-0,6659
1895-0,6206
1896-0,6445
1897-0,4937
1898-0,8514
1899-0,9282
1900-0,8083
1901-0,8066
1902-0,3880
1903-0,6071
1904-0,7147
1905-0,10069
1906-0,9510
1907-0,11121
1908-0,7911
1909-0,5787
1910-0,11719
1911-0,9784
1912-0,10831
1913-0,1331
1914-0,1593
1915-0,2941
1916-0,838
1917-0,1410
1918-0,2014
1919-0,1979
1920-0,1084
1921-0,2375
1922-0,2514
1923-0,2877
1924-0,2912
1925-0,4478
1926-0,4311
1927-0,3776
1928-0,3584
1929-0,4709
1930-0,2047
1931-0,2623
1932-0,1835
1934-0,975
1935-0,1515
1936-0,1552
1937-0,1179
1938-0,1967
1939-0,1592
1940-0,1321
1941-0,1345
1942-0,1416
1943-0,1848
1944-0,1569
1945-0,3467
1946-0,13073
1947-0,2708
1948-0,2253
1949-0,1509
1950-0,2175
1951-0,1616
1952-0,2176
1953-0,3156
1953-1,4037
1954-0,2835
1955-0,3540
1956-0,3960
1957-0,1918
1958-0,2231
1959-0,2273
1960-0,2580
1961-0,2363
1961-1,3142
1962-0,2962
1963-0,2375
1964-0,1328
1965-0,1857
1966-0,2272
1967-0,2861
1968-0,2048
1969-0,1566
1970-0,1793
1971-0,1816
1972-0,1575
1973-0,690
1974-0,2018
1975-0,1873
1976-0,2219
1977-0,2085
1978-0,1919
1979-0,1499
1980-0,1527
1981-0,1931
1981-1,17231
1982-0,2313
1983-0,2481
1984-0,2242
1985-0,1969
1986-0,1615
1987-0,1585
1988-0,2132
1989-0,2089
1990-0,1599
1991-0,1698
1992-0,2054
1993-0,2741
1994-0,3076
1995-0,3556
1996-0,2646
1997-0,2885
1998-0,3156
1999-0,3265
2000-0,3809
2001-0,1945
2002-0,1805
2003-0,2457
2004-0,2400
2005-0,2331
2006-0,2445
2007-0,2441
2008-0,2655
2009-0,2515
2010-0,3164
2011-0,2913
2012-0,3159
2013-0,3059
